tweet,class,clean_tweet
@AyDontJudgeMe Just come stop in this bitch cause im bout to get off,1,aydontjudgeme come stop bitch cause im bout get
@mrgeology no you ignorant cement headed hillbilly. You said taxing. Cant you fuckin read you fucking knob gobbling douchebag,0,mrgeology ignorant cement headed hillbilly said taxing cant fuckin read fucking knob gobbling douchebag
@awfulbot are you a pig or are you a bird,2,awfulbot pig bird
this ugly bitch need to get a new name tho you don't look like me you don't have as much followers as me #killyouself zodiac killer bitch,1,ugly bitch need get new name tho dont look like dont much followers killyouself zodiac killer bitch
Awwwwww RT @Tyga: That ain't my hoe.,1,rt tyga aint hoe
"I want my bitch to answer if my ex calling, with my dick in her mouth",1,want bitch answer ex calling dick mouth
@ShotMoistBoyce you be fucking with to many hoes .,1,shotmoistboyce fucking many hoes
"2 thangs my bitch can't say, ""I'm broke"" n ""ha period late""",1,2 thangs bitch cant say im broke n ha period late
What you saying hoe?,1,saying hoe
RT @LeBronVuitton: Joe changed her life and went back to his old bitch&#128514;&#128514; &#8220;@1stName_Bravo: @LeBronVuitton ha.. she got them bitches worked o&#8230;,1,rt lebronvuitton joe changed life went back old bitch128514128514 82201stnamebravo lebronvuitton ha got bitches worked o8230
"RT @E_Tae627: ""@KB_Three: Lil skinny bitch throw ha like a frito 
#TecoRemix""bol",1,rt etae627 kbthree lil skinny bitch throw ha like frito tecoremixbol
It's a matter of pure weight ratios... A five ounce bird can not carry a one pound coconut!,2,matter pure weight ratios five ounce bird carry one pound coconut
RT @VUULibrary: It is Shakespeare's birthday. Take a look at some Shakespearean trash talk. http://t.co/JSy3UFfaIb,2,rt vuulibrary shakespeares birthday take look shakespearean trash talk
Fucc nicca,1,fucc nicca
"RT @__SoulFlower: ""I'm against feminism I think men and women should be equal"" a bitch that don't know shit about feminism",1,rt soulflower im feminism think men women equal bitch dont know shit feminism
"RT @_JohnFKennedy_: I choose to fuck all these bitches not because they're easy, but because I'm hard #PresidentialPounding",1,rt johnfkennedy choose fuck bitches theyre easy im hard presidentialpounding
@_shegotthis yellow rice black beans and pork chop sis,2,shegotthis yellow rice black beans pork chop sis
Niccas be hating on my nicca Jeezy ... #RealTalk,1,niccas hating nicca jeezy realtalk
RT @IJustBeChillinn: dont bitch then get mad when i stop trying lol,1,rt ijustbechillinn dont bitch get mad stop trying lol
"Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all.",2,lmao shovel video pretty awesome went like ton bricks lol gotta love honky riff raff savages
"Accept your flaws and imperfections because that's what makes you, YOU! See I'm a fuck, small dick faggot with parents who don't love me.",0,accept flaws imperfections thats makes see im fuck small dick faggot parents dont love
Ummm...so the Happy Fairy apparently took a crap on my twitter and made it all...happy.,1,ummmso happy fairy apparently took crap twitter made allhappy
Every time my mom calls me it's to bitch at me about something lol,1,every time mom calls bitch something lol
"&#8220;@TeeNaaasty: Half y'all hoes still got nut in y'all baby hairs , shut up &#128530;&#8221; http://t.co/YyFCNfqZPc",1,8220teenaaasty half yall hoes still got nut yall baby hairs shut 1285308221
"RT @CzarofSwag: To the retards chanting USA at the FC Dallas game, Kansas is in the USA.",1,rt czarofswag retards chanting usa fc dallas game kansas usa
"I swear these anon fags go to protests just to take pictures to post to Twitter. ""Look, I was there...Like me""",0,swear anon fags go protests take pictures post twitter look therelike
RT @RnadJorell: &#8220;@_KudaBrazyy: @RnadJorell Knocked that bitch soul out her body lol&#8221; aha bruh cocked back an fired on that bitch,1,rt rnadjorell 8220kudabrazyy rnadjorell knocked bitch soul body lol8221 aha bruh cocked back fired bitch
"@VictorSmith90 Lightweight, heavyweight don't matter. Still knock bitches out &#128074;&#128162;&#128170;",1,victorsmith90 lightweight heavyweight dont matter still knock bitches 128074128162128170
RT @Ranger1325: I'm waiting for all of you little bitches that whined about Bush to start speaking up about Obama and his wars. #Syria,1,rt ranger1325 im waiting little bitches whined bush start speaking obama wars syria
"@GenuinelyOT lol, that pussy got rich niggas losing their minds too. Got Drizzy &amp; Breezy beef'd out, that puss is the devil's playground.",1,genuinelyot lol pussy got rich niggas losing minds got drizzy amp breezy beefd puss devils playground
"I was in the 9 grade and this bitch said something and I went off about her momma and her. She was like ""I'm adopted""",1,9 grade bitch said something went momma like im adopted
#IfWeDate i eat da pussy better than a lesbian.,1,ifwedate eat da pussy better lesbian
RT @LaBugg09: I love everybody ion hate these bitches,1,rt labugg09 love everybody ion hate bitches
RT @Cancerous_Kevin: @TimRossComedy @Michael_Craig12 I feel like Tim Ross is a nigger,0,rt cancerouskevin timrosscomedy michaelcraig12 feel like tim ross nigger
Flashin money but ya bitch nails not done..,1,flashin money ya bitch nails done
"Brag bout your hoes, you prolly get 0 to no pussy.",1,brag bout hoes prolly get 0 pussy
"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby",2,greggutfeld video entire media likely mock crybaby
@shitballshonkey try me bitch boy,1,shitballshonkey try bitch boy
"Perhaps Ezra Miller is the first crack toward changing that, regardless of whether he identifies as queer over gay.",2,perhaps ezra miller first crack toward changing regardless whether identifies queer gay
"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy",1,poemsporn quote tweet favorite animalpussy
butt chug 4lokos or nah,1,butt chug 4lokos nah
5:40 A.M. and still awake! YAY!!! Time to chug coffee and red bull for the foreseeable future and hopefully not pass out behind the wheel!!!,2,540 still awake yay time chug coffee red bull foreseeable future hopefully pass behind wheel
@karlieu123 I can't help but notice you attempting to avoid acknowledging your very hairy pussy....,1,karlieu123 cant help notice attempting avoid acknowledging hairy pussy
"You ain't got no job, no diploma, no money, bitch at your parents when they don't give you money for weed, yet We need to act like adults??",1,aint got job diploma money bitch parents dont give money weed yet need act like adults
I'm really nice &#128557; but a bitch at times,1,im really nice 128557 bitch times
@IvetteBrianna_ fag,1,ivettebrianna fag
&#8220;@NiggaImTatted: Cowboys win games during the regular season but when they get to the playoffs that trash af lol&#8221; hating ass nigga,0,8220niggaimtatted cowboys win games regular season get playoffs trash af lol8221 hating ass nigga
I love fat bitches,1,love fat bitches
RT @Livlopezzz: Let me make this clear I don't need no fucking body! I don't need none of you whack ass hoes too be friend &#128564;,1,rt livlopezzz let make clear dont need fucking body dont need none whack ass hoes friend 128564
SEnd y'all bitch asses fishing with us RT @ikesizzle: We ain't beat San Antonio all season I don't wanna play them nigguhs #straightup,1,send yall bitch asses fishing us rt ikesizzle aint beat san antonio season dont wanna play nigguhs straightup
@StriveForLight Report me for what bitch? You need to read the Twitter rules and guidelines. This ain't Facebook cunt.,1,striveforlight report bitch need read twitter rules guidelines aint facebook cunt
Getting off twitter jigg trynna stress me out more I don't need this type of heat&#128553;,2,getting twitter jigg trynna stress dont need type heat128553
This bro is just rippin apart a bird about 10 feet from us.. #redtail #hawk http://t.co/tjAnr2pB,2,bro rippin apart bird 10 feet us redtail hawk
RT @timbvtcher: Old soul? More like young bitch.,1,rt timbvtcher old soul like young bitch
"thanks for the follow @Jerry_Remy! I may be a @Yankees fan, but you guys are one of the best broadcasters in the @MLB!",2,thanks follow jerryremy may yankees fan guys one best broadcasters mlb
@kieffer_jason u can have a tool bet u want shoot it tho pussy ass nigga but u can't through dem hands tho,1,kiefferjason u tool bet u want shoot tho pussy ass nigga u cant dem hands tho
Good they trash RT @jerseyzbest74: Niggas ate most of my chips ahoy cookies and the cookies havent been in the house 20 hours yet,1,good trash rt jerseyzbest74 niggas ate chips ahoy cookies cookies havent house 20 hours yet
#tweetlikelexi Nah we not gonna sit down we gonna walk it out bitch.,1,tweetlikelexi nah gonna sit gonna walk bitch
"Just to get u mad go on your search bar on here and search up ""stupid niggers"" &amp; hop on somebodys head then mention me lol @stonethegreat23",0,get u mad go search bar search stupid niggers amp hop somebodys head mention lol stonethegreat23
RT @MattAncheyta: Dumb bitch,1,rt mattancheyta dumb bitch
@Tee_Bizzle nah bitch you like Pookie from new jack city,1,teebizzle nah bitch like pookie new jack city
#Yankees got beaten by a thug,2,yankees got beaten thug
RT @JuanNDaCut: Explaining to a girl how u don't have hoes http://t.co/eY7lmc5i2W,1,rt juanndacut explaining girl u dont hoes
I think you're in a bad mood from munching on hairy pussy.,1,think youre bad mood munching hairy pussy
"Horse racing, bitch.",1,horse racing bitch
"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please",1,know twitter password bitch please
Fuck around wit me n my niggas n we'll turn dis bitch inside out,1,fuck around wit n niggas n well turn dis bitch inside
Hoes always tryna say they look like a celebrity .... NO BITCH!!! You like the other hoe that love on krenshaw sit yo basic ass down,1,hoes always tryna say look like celebrity bitch like hoe love krenshaw sit yo basic ass
@ILIKECATS74 @bootyacid @sizzurp__ @yoPapi_chulo @brandonernandez because you're the ratchetest of them all bitch,1,ilikecats74 bootyacid sizzurp yopapichulo brandonernandez youre ratchetest bitch
These hoes going BROKE trying to look RICH. ACT your WAGE!,1,hoes going broke trying look rich act wage
"When bitches say ""I want to cuddle."" It real is them speaking in code saying they want the D",1,bitches say want cuddle real speaking code saying want
This cowboys an redskins game was a hell of a game,2,cowboys redskins game hell game
"Yea, my bitch is crazy. So what?",1,yea bitch crazy
That bitch came flyin in !!! Lmao.,1,bitch came flyin lmao
&#128064; RT @Freegeezy17: This hoe got a school shirt on sucking dick &#128553;&#128553;&#128553;&#128553;&#128553;&#128553;,1,128064 rt freegeezy17 hoe got school shirt sucking dick 128553128553128553128553128553128553
@CallME__Jetson hoe ass nigga. &#128529;,1,callmejetson hoe ass nigga 128529
In da club makin movies. I feel like tyler perry. Fuckin niggas bitches.dey like why did.i gt married.,1,da club makin movies feel like tyler perry fuckin niggas bitchesdey like didi gt married
@Mrste617 wake and bake before school hoe !!!,1,mrste617 wake bake school hoe
RT @phishlicia: Ocho is approaching bitches,1,rt phishlicia ocho approaching bitches
RT @pambesteder: **WOW* according to this tweet by @Tarascan68 Obama must have been an Uncle Tom? http://t.co/Klcsgy9JPW,2,rt pambesteder wow according tweet tarascan68 obama must uncle tom
me loving a hoe is ah No No,1,loving hoe ah
@Meeeesh1395 damn makin bitches jealous in reality &amp; Twitter/facebook. Prolly mad bc if her pic was posted it wouldnt be taken as a joke! &#128514;,1,meeeesh1395 damn makin bitches jealous reality amp twitterfacebook prolly mad bc pic posted wouldnt taken joke 128514
"Yaaasss! RT @LoveMsLiz: When a hoe is talking about how they really don't be hoes..... &#128530; like girl, if you gotta explain it.. 9/10 a hoe.",1,yaaasss rt lovemsliz hoe talking really dont hoes 128530 like girl gotta explain 910 hoe
Buddy slapped his rent stress out on that messy bitch. What I done told u hoes bout New York niggas &amp; they temper? #TrainVideo,1,buddy slapped rent stress messy bitch done told u hoes bout new york niggas amp temper trainvideo
Bobby bitch&gt;Hot nigga,1,bobby bitchgthot nigga
@kayhay14 bitch back up I'm taken,1,kayhay14 bitch back im taken
RT @BoujieAssMeena: My bitches got pretty pussy&#128516;&#128516;&#128516;&#128540;&#128540;&#128540;,1,rt boujieassmeena bitches got pretty pussy128516128516128516128540128540128540
@dalmesquita13 you to bitch!,1,dalmesquita13 bitch
@Joey_D26 sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag,0,joeyd26 sweet comeback u fuckin herb dnt watch soccer id still wax bitch ass go swallow red soxs kids ur nyc fag
Drop it down for a niggah,1,drop niggah
Ya last nicca couldn't beat it .. I hit it like a free throw!,1,ya last nicca couldnt beat hit like free throw
"Word RT @Maxin_Betha: And pussy RT @HumbltonBanks And snacks RT @Aerin_Marie: Ladies, keep beer (cont) http://t.co/ssb5ERhd",1,word rt maxinbetha pussy rt humbltonbanks snacks rt aerinmarie ladies keep beer cont
"RT @basedamERICan: ""Aye fam you think you can line me up I saw a bad bitch in Mrs. Bridget's room"" http://t.co/OAl9WlJMgE",1,rt basedamerican aye fam think line saw bad bitch mrs bridgets room
@Xianilee BOOM bitches !,1,xianilee boom bitches
"RT @OfficiallyIce: ""That's why you're so good at this game. Cause u sit on your unemployed nigger ass playing all day.""",1,rt officiallyice thats youre good game cause u sit unemployed nigger ass playing day
"I found the ""boom, boom, boom, waaaaay ho"" girl. How the fuck does someone sing for 5 years and not progress at all? http://t.co/o6R9bYT5De",1,found boom boom boom waaaaay ho girl fuck someone sing 5 years progress
5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#128514;&#128514;&#128514;,0,5000 white men pick trucks screaming nigger coach got nerve get mad missed free throw 128514128514128514
Took Uber to &amp; from thr shakey club last weekend. $12 total. Cheaper than the $20 parking. Had $8 extra to throw at the hoes.,1,took uber amp thr shakey club last weekend 12 total cheaper 20 parking 8 extra throw hoes
RT @papichuIo: My soul mate probably some ho around the corner,1,rt papichuio soul mate probably ho around corner
"Nah fuck em bitter heat bitches ""@YeIIowbang: Funny seeing heat and bulls fans get along lol""",1,nah fuck em bitter heat bitches yeiiowbang funny seeing heat bulls fans get along lol
&#8220;@iDisrespectHoez: RT @JonRaff: Hate when a chick say go deeper when u already dishin out all u got #hoes&#8221; &#128514;&#128514;&#128514;&#128514;&#128514;,1,8220idisrespecthoez rt jonraff hate chick say go deeper u already dishin u got hoes8221 128514128514128514128514128514
@BarbaraF321 @ThirtyBirdy wow and there are white people and there are crackers. Guess which one u are.,1,barbaraf321 thirtybirdy wow white people crackers guess one u
when ah rich nigga want ur bitch it's nothing u can do... but hope she think about u on dem shopping sprees...,1,ah rich nigga want ur bitch nothing u hope think u dem shopping sprees
"@Briccone79 @pvvrivierenland ja moest van plisie niet meteen wild gaan denken.Juistja,willen wel meer mensen mij vertellen hoe k moet denken",2,briccone79 pvvrivierenland ja moest van plisie niet meteen wild gaan denkenjuistjawillen wel meer mensen mij vertellen hoe k moet denken
"&#128557; RT @red_daddy17: But wait if he got a ole lady and still ""quenching yo girl"" is he a unfaithful water fountain for hoes?!?!",1,128557 rt reddaddy17 wait got ole lady still quenching yo girl unfaithful water fountain hoes
Yo own homegirls sayin you a bum bitch #Ooooostopflexingforigandtwitter,1,yo homegirls sayin bum bitch ooooostopflexingforigandtwitter
"RT @PowerCumminMax: Green/yellow fuel pump&gt;&gt;&gt;&gt;&gt;
#dieselstation",2,rt powercumminmax greenyellow fuel pumpgtgtgtgtgt dieselstation
@DreadHeadxx bitch hallon,1,dreadheadxx bitch hallon
Ain't none of these hoes loyal none of em if I cloud show y'all the stuff be coming thru my phone....but that ain't none of y'all business,1,aint none hoes loyal none em cloud show yall stuff coming thru phonebut aint none yall business
"RT @TrevonDeLorean: Bitches be 18 in 8th grade talking about ""I miss Bae"" &#128586;&#128107; naw bitch you missed graduation &#128563;&#128557;&#128557;&#128514;",1,rt trevondelorean bitches 18 8th grade talking miss bae 128586128107 naw bitch missed graduation 128563128557128557128514
And you kno we the opposite of down bitch we up http://t.co/qkFYwnFZqu,1,kno opposite bitch
"I was eating &amp; my mom gon say ""damn calm down"" TF bitch I am CALM",1,eating amp mom gon say damn calm tf bitch calm
RT @lonlontheone_15: Smoke sum bitch,1,rt lonlontheone15 smoke sum bitch
RT @ItsWaltBitch: meth brownies,1,rt itswaltbitch meth brownies
There are some retarded ass movies on Netflix,1,retarded ass movies netflix
"RT @ItsDRecord: Bitches about to start that ""New year, New me"" bullshit.. You can't undo the numbers on that pussy thoo",1,rt itsdrecord bitches start new year new bullshit cant undo numbers pussy thoo
RT @ErybdyHatesRiss: But I've made some hoes second guess themselves lol,1,rt erybdyhatesriss ive made hoes second guess lol
RT @thecoreyholcomb: When gay girls suck pussy from a bitch who just took a plan B pill the other day that means the munching hoe ate plans&#8230;,1,rt thecoreyholcomb gay girls suck pussy bitch took plan b pill day means munching hoe ate plans8230
Be my backbone every nicca need a spine,1,backbone every nicca need spine
@zt0mm lucky monkey,2,zt0mm lucky monkey
fat bitches fat bitches heeeey,0,fat bitches fat bitches heeeey
"RT @StealUrGirlBush: Like honestly if you are embarrassed to be around someone because of how they look, you're trash",1,rt stealurgirlbush like honestly embarrassed around someone look youre trash
"I find it hard to believe cee-lo raping hoes, it's too easy to get them panties off when you successful",1,find hard believe ceelo raping hoes easy get panties successful
faggots http://t.co/DMKbGhai1z,0,faggots
@denytheprophecy shit so Joel went off and swore at the kid and the kid was a fucking snitch nigga pussy and ratted on him &amp; got him -,1,denytheprophecy shit joel went swore kid kid fucking snitch nigga pussy ratted amp got
"' Cause these hoes ain't loyal ! These niggas ain't either &#1041233; , when it go down you callin for hitters that you... http://t.co/wmrUwTwuJE",1,cause hoes aint loyal niggas aint either 1041233 go callin hitters
These nigs like saying they miss the old vice,1,nigs like saying miss old vice
Yo pussy ain't shit unless you had some jake from state farm in it,1,yo pussy aint shit unless jake state farm
"Everywhere you look, all you see is hillbilly deluxe... Big timin in a small town. #smalltownproblems #neversaiditwasabadthing #brooksndunn",2,everywhere look see hillbilly deluxe big timin small town smalltownproblems neversaiditwasabadthing brooksndunn
I snorted shit with more girls in my presence than a dude lmao coke head bitches..,1,snorted shit girls presence dude lmao coke head bitches
RT @CurrenSy_Spitta: Some bitches think a trucker hat automatically makes them a model.....,1,rt currensyspitta bitches think trucker hat automatically makes model
""" i need a trippy bitch who fuck on Hennessy """,1,need trippy bitch fuck hennessy
He called me a bitch. And he said he was changing? Do you call that changing? I don't think so. How about you go fuck yourself. #pissed,1,called bitch said changing call changing dont think go fuck pissed
"""@kayreneeee_: Fuck wit us and then we tweakin hoe"" shmurda!",1,kayreneeee fuck wit us tweakin hoe shmurda
"@FeyeNody Ja zo denkt ieder wel 't zijne over zaken he. &amp; je mag mij noemen hoe je wilt, ben namelijk erg voor vrijheid van meningsuiting.",1,feyenody ja zo denkt ieder wel zijne zaken amp je mag mij noemen hoe je wilt ben namelijk erg voor vrijheid van meningsuiting
"RT @Griff_TheGreat: Drake said it best when he said ""Niggas act more like bitches these days!""",1,rt griffthegreat drake said best said niggas act like bitches days
RT @youngtravo: If u ain't never had a pregnancy scare your pussy trash ladies #professortrav,1,rt youngtravo u aint never pregnancy scare pussy trash ladies professortrav
@bossliyah_ DM me your number hoe,1,bossliyah dm number hoe
@JoeTheMailman @emilyrs But that bitch could care less about Benghazi victims!,1,joethemailman emilyrs bitch could care less benghazi victims
RT @Heart_LessGirl: I know how in the moment people can be. Especially guys. So excuse me for not trusting you being fucked up around hoes.,1,rt heartlessgirl know moment people especially guys excuse trusting fucked around hoes
Parsons trash,2,parsons trash
"@n0tsteven whatever you wall hackin pussy bich I'll fuk u up like I did ur mum, ur sis, ur step sis, ur mums mum, ur mums aunt 420 bich bich",1,n0tsteven whatever wall hackin pussy bich ill fuk u like ur mum ur sis ur step sis ur mums mum ur mums aunt 420 bich bich
"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",2,elgrillo1 pit bulls photographed lovely fairy tale creatures fairy tale creatures
@ohVixen I love laying in bed by myself because I have a twin size bed and bitches be takin up 3/4 and I ain't havin that,1,ohvixen love laying bed twin size bed bitches takin 34 aint havin
RT @lildurk_: How you wife dat bitch 2many niggas fucked from my clique 2many niggas actin so rich all dese boppin hoes on my dick #Maserati,1,rt lildurk wife dat bitch 2many niggas fucked clique 2many niggas actin rich dese boppin hoes dick maserati
@babyspittle @Kimmyincali @MartiniShark @SenatorReid Still blaming Bush? Fucking retard,1,babyspittle kimmyincali martinishark senatorreid still blaming bush fucking retard
Only niggah on my TL so getting off now,1,niggah tl getting
"""@fuckcamoclark: Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892",1,fuckcamoclark roses red violets blue niggers black know thats true dylan72892
@Sisson11Noah there is a bird here on the ground and it's still alive I can't believe it,2,sisson11noah bird ground still alive cant believe
"@AceHudsonJr bitches tryna take all my money, g.",1,acehudsonjr bitches tryna take money g
@anepicname only reason I wouldn't give it up is I ahve a fucking CATALOG on this bitch. Arcade games were fire.,1,anepicname reason wouldnt give ahve fucking catalog bitch arcade games fire
@Bam_N_DeyMouth grindin cuzz thats all shit dont stop wats good witcha thou bitch you been mia too,1,bamndeymouth grindin cuzz thats shit dont stop wats good witcha thou bitch mia
RT @JeneBramel: Clever. RT @LanceMcAlister: Watch Burfict make the hit and then mock officials by throwing a flag on himself. https://t.co/&#8230;,2,rt jenebramel clever rt lancemcalister watch burfict make hit mock officials throwing flag
I will beat a bitch ass tf,1,beat bitch ass tf
"Would you rather be a monkey or a gorilla? &#8212; Neither, they're both hairy! But if I had to choose, a monkey. They... http://t.co/h2RQF5OqWb",2,would rather monkey gorilla 8212 neither theyre hairy choose monkey
I see thru all you fake bitches &amp; niggas.,1,see thru fake bitches amp niggas
@ThatKid_Vicente thanks little bitch &#128526;,1,thatkidvicente thanks little bitch 128526
"@Wizards_DnD @JimZub tranny dragons, eh? I know some people that will love this!",2,wizardsdnd jimzub tranny dragons eh know people love
"&#8220;@DShmee: Tom Brady slowly becoming washed?&#128064;&#8221;

Nah.. His weapons just trash",2,8220dshmee tom brady slowly becoming washed1280648221 nah weapons trash
Niggas/bitches cheat cause mf's always think they gettin played,0,niggasbitches cheat cause mfs always think gettin played
RT @Vonta624: @onDAT_Othershit @_KudaBrazyy when bout 5 bitches got together and thought of a reason to make they boyfriend claim them,1,rt vonta624 ondatothershit kudabrazyy bout 5 bitches got together thought reason make boyfriend claim
"My manager @7FLyy new brand | PRE - ORDER NOW w/
 (404) 394-1570&#160;&#160;--&gt; @sevenflyy ""Red Lust"" &amp; ""Cherry White"" beanies http://t.co/LxjMBCTgJj",2,manager 7flyy new brand pre order w 404 3941570160160gt sevenflyy red lust amp cherry white beanies
"The ""Yanks"" Are Coming: From Disparagement to Pride http://t.co/HoELpcbBg6",2,yanks coming disparagement pride
@EmmanuelRodz11 WILLIAN up in that hoe &#128514;&#128514;&#128514;&#128514;,1,emmanuelrodz11 willian hoe 128514128514128514128514
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",1,beenbasedb kudabrazyy 0 rings 0 mvps 0 bitches lol
RT @VictorSmith90: @vnksmith16 be out here fighting bitches like its legal,1,rt victorsmith90 vnksmith16 fighting bitches like legal
You got that pussy nigga disease ain't no curing ya,1,got pussy nigga disease aint curing ya
My dad goes son of a bitch and just lights a cigarette in the kitchen... Oh&#128514;&#128514;&#128514;&#128514;,1,dad goes son bitch lights cigarette kitchen oh128514128514128514128514
bitches please in napa fewer than 100 people were injured and literally 2 of those were reported as critical,1,bitches please napa fewer 100 people injured literally 2 reported critical
Flo is a bad bitch,1,flo bad bitch
gonna have them pussies mix up some concrete today. teach them to pose like me. I am a badass motherfucker. and I will let you be too (:,1,gonna pussies mix concrete today teach pose like badass motherfucker let
Then the Mexican bitch wanna speak some other fuckin language &amp; then give attitude. Can't speak right ass! Tf,1,mexican bitch wanna speak fuckin language amp give attitude cant speak right ass tf
That bitch said her pussy pops severely thoe &#128514;&#128514;&#128514;&#128514;,1,bitch said pussy pops severely thoe 128514128514128514128514
"RT @itscoleharmon_: Top 3 Lies girls tell on twitter
1. My DMs don't work
2. Why is my twitter unfollowing people
3. I'm not a hoe",1,rt itscoleharmon top 3 lies girls tell twitter 1 dms dont work 2 twitter unfollowing people 3 im hoe
pancakes trash,2,pancakes trash
@Tee_Bizzle shut up bitch,1,teebizzle shut bitch
RT @Ilovebamf: #tbt with these bitches glad I met these fucks @Savage_530 @Brandonjw02 @JP_Gentleman #Friend&#128563; http://t.co/NHEeCJ7ukb,1,rt ilovebamf tbt bitches glad met fucks savage530 brandonjw02 jpgentleman friend128563
RT @Brit_Stratton: Justification of my bitch face. Thanks @zzachbarness. http://t.co/A6giLjeE4x,1,rt britstratton justification bitch face thanks zzachbarness
@jaimescudi_ lmao fucking bitch ima whoop you like a did yesterday but I'm trying to update the roster you down?,1,jaimescudi lmao fucking bitch ima whoop like yesterday im trying update roster
&#8220;@iDntWearCondoms: U get what u put in. If all u offering is pussy don't be mad when all u receive is dick&#8221; &#128588;,1,8220idntwearcondoms u get u put u offering pussy dont mad u receive dick8221 128588
@sbsylvester @kieffer_jason @hunterbuch66 bitch that doesn't even make any sense bitch.,1,sbsylvester kiefferjason hunterbuch66 bitch doesnt even make sense bitch
"Nicki said ""fuck those skinny bitches""...uh oh",1,nicki said fuck skinny bitchesuh oh
@ashleyrike sick bitch!!,1,ashleyrike sick bitch
&#8220;@wassssupsarah: Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?,2,8220wassssupsarah car hopping different world ghetto guys tried asking number lol8221 ghetto tho
fuck twitter i aint getting on this bitch no more &#9996;&#65039;&#128545;&#128299;,1,fuck twitter aint getting bitch 999665039128545128299
Why is it everytime I go to cracker barrel the girl with great tits that seats you who is your waitress nope its the chick with 2 teeth,1,everytime go cracker barrel girl great tits seats waitress nope chick 2 teeth
"RT @RealNiggaSherm: ""@1stBlocJeremiah: @RealNiggaSherm bitch"" bitch wassup",1,rt realniggasherm 1stblocjeremiah realniggasherm bitch bitch wassup
So I we gotta find a new house because the land lord being a bitch but we getting a waaaay better house so it's all good lol,1,gotta find new house land lord bitch getting waaaay better house good lol
@oak_log check yer phone nigger,1,oaklog check yer phone nigger
&#8220;@LuaBoo: Niggas over 6'2 with long ass monkey arms make the best cuddle buddies....so I heard&#8221; ahaha a female told me this once&#128514;&#128514;&#128514;,1,8220luaboo niggas 62 long ass monkey arms make best cuddle buddiesso heard8221 ahaha female told once128514128514128514
"I like beamers benzes and porches, i like my bitches imported",1,like beamers benzes porches like bitches imported
RT @Royals: #Royals win!! KC with a 2-0 blanking of the Yankees to take the series in the Bronx! #BeRoyalKC,2,rt royals royals win kc 20 blanking yankees take series bronx beroyalkc
@mingtong007 you still are a cunt,1,mingtong007 still cunt
"It's summer bitches 
&#128139;&#127802;&#127774;&#128132;&#128142; http://t.co/JxqonTfiUq",1,summer bitches 128139127802127774128132128142
@FunnyPicsDepot he's a greaser,2,funnypicsdepot hes greaser
Every spic cop in #LosAngeles has raped or has thought about raping a white woman. That's why those half-breeds get jobs as pigs.,0,every spic cop losangeles raped thought raping white woman thats halfbreeds get jobs pigs
"Lifes a bitch and then ya die, thats why we get high",1,lifes bitch ya die thats get high
"I Was Down for A Minute , them bitches left a Nigga 
Them hoes forgot about me , like they neva met a nigga",1,minute bitches left nigga hoes forgot like neva met nigga
Lakers are a purple and yellow garbage can,2,lakers purple yellow garbage
&#8220;@ghostriderJ1: Yankees will never have someone wear a single digit uniform again after this season&#8221; Wow. Shows that is an epic organization,2,8220ghostriderj1 yankees never someone wear single digit uniform season8221 wow shows epic organization
"RT @_BredDIFFERENT: They on a bitch , yeah they want a bitch",1,rt breddifferent bitch yeah want bitch
Rape a ho Ben! Lol,1,rape ho ben lol
I swear I heard that bitch creak,1,swear heard bitch creak
If you texting other niggas just let me know so I can find me some other bitches. No hard feelings,1,texting niggas let know find bitches hard feelings
@DickDankstardly did you smile like a retard when you were a kid? It took me till like 5th grade before I learned how to naturally smile,1,dickdankstardly smile like retard kid took till like 5th grade learned naturally smile
"@_fullawhite haha my nigga coco :,) I can't wait to fuckkk like a hunna hoes this summer haha jk",1,fullawhite haha nigga coco cant wait fuckkk like hunna hoes summer haha jk
Average is basic and basic is trash &#128514;&#128514;,2,average basic basic trash 128514128514
I can just set that hoe on fire &#128514;&#128514;&#128074;&#128080;&#128080;&#9996;&#65039;,1,set hoe fire 128514128514128074128080128080999665039
@pussyjuices drink pussy juice nigga,1,pussyjuices drink pussy juice nigga
let the hoe ass falcons get steven wackson and our 1st rd pick,1,let hoe ass falcons get steven wackson 1st rd pick
"Put your hands down bitch, I ain't gon shoot you",1,put hands bitch aint gon shoot
@SacTownProdigy lol just like RGIII and go out like a weak bitch and return the next year and win 3 games,1,sactownprodigy lol like rgiii go like weak bitch return next year win 3 games
